11:00:54,440 | INFO  | eMQ Session Task | PidgeonListener                  | inc.snap.pidgeon.PidgeonListener   32 |  -  -  | received: Message: 10 sent at: Tue Oct 05 11:00:54 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
11:00:54,441 | INFO  | eMQ Session Task | PidgeonMulticaster               | .snap.pidgeon.PidgeonMulticaster   25 |  -  -  | Sending 1000 bytes to /224.0.0.6:6789
11:00:54,447 | INFO  | eMQ Session Task | PidgeonListener                  | inc.snap.pidgeon.PidgeonListener   32 |  -  -  | received: Message: 11 sent at: Tue Oct 05 11:00:54 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
11:00:54,448 | INFO  | eMQ Session Task | PidgeonMulticaster               | .snap.pidgeon.PidgeonMulticaster   25 |  -  -  | Sending 1000 bytes to /224.0.0.6:6789
11:00:54,448 | INFO  | eMQ Session Task | PidgeonListener                  | inc.snap.pidgeon.PidgeonListener   32 |  -  -  | received: Message: 12 sent at: Tue Oct 05 11:00:54 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
11:00:54,448 | INFO  | eMQ Session Task | PidgeonMulticaster               | .snap.pidgeon.PidgeonMulticaster   25 |  -  -  | Sending 1000 bytes to /224.0.0.6:6789
11:00:54,449 | INFO  | eMQ Session Task | PidgeonListener                  | inc.snap.pidgeon.PidgeonListener   32 |  -  -  | received: Message: 13 sent at: Tue Oct 05 11:00:54 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
11:00:54,449 | INFO  | eMQ Session Task | PidgeonMulticaster               | .snap.pidgeon.PidgeonMulticaster   25 |  -  -  | Sending 1000 bytes to /224.0.0.6:6789
11:00:54,450 | INFO  | eMQ Session Task | PidgeonListener                  | inc.snap.pidgeon.PidgeonListener   32 |  -  -  | received: Message: 14 sent at: Tue Oct 05 11:00:54 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
11:00:54,451 | INFO  | eMQ Session Task | PidgeonMulticaster               | .snap.pidgeon.PidgeonMulticaster   25 |  -  -  | Sending 1000 bytes to /224.0.0.6:6789
11:00:54,451 | INFO  | eMQ Session Task | PidgeonListener                  | inc.snap.pidgeon.PidgeonListener   32 |  -  -  | received: Message: 15 sent at: Tue Oct 05 11:00:54 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
11:00:54,451 | INFO  | eMQ Session Task | PidgeonMulticaster               | .snap.pidgeon.PidgeonMulticaster   25 |  -  -  | Sending 1000 bytes to /224.0.0.6:6789
11:00:54,452 | INFO  | eMQ Session Task | PidgeonListener                  | inc.snap.pidgeon.PidgeonListener   32 |  -  -  | received: Message: 16 sent at: Tue Oct 05 11:00:54 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
11:00:54,452 | INFO  | eMQ Session Task | PidgeonMulticaster               | .snap.pidgeon.PidgeonMulticaster   25 |  -  -  | Sending 1000 bytes to /224.0.0.6:6789
11:00:54,452 | INFO  | eMQ Session Task | PidgeonListener                  | inc.snap.pidgeon.PidgeonListener   32 |  -  -  | received: Message: 17 sent at: Tue Oct 05 11:00:54 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
11:00:54,453 | INFO  | eMQ Session Task | PidgeonMulticaster               | .snap.pidgeon.PidgeonMulticaster   25 |  -  -  | Sending 1000 bytes to /224.0.0.6:6789
11:00:54,457 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   81 |  -  -  | Pidgeon is forwarding: Message: 6 sent at: Tue Oct 05 11:00:54 MST 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
11:00:54,458 | INFO  | Thread-9         | PidgeonIn                        | .opsysinc.snap.pidgeon.PidgeonIn   79 |  -  -  | Pidgeon MC from: 10.0.1.16
